date,vibration_mm_s,current_a,voltage_v,power_factor,temperature_c,runtime_hours,bearing_condition,health_status,failure_mode
2024-11-19,4.93655378392243,102.98752908365688,411.24104474952406,0.8286821201897228,69.19222854598378,5328,Good,Critical,Bearing failure
2024-11-28,4.718557533669934,98.81931473008922,404.390725504957,0.8196089006452784,71.28497273280554,5476,Worn,Critical,Bearing failure
2024-12-02,4.581865045168305,99.75804393609084,410.4814906963493,0.8662179640860801,59.50480104420099,5551,Good,Critical,Bearing failure
2024-12-03,5.053839694230782,95.35382702701608,416.00579827936417,0.8641643935773071,64.25547513147961,5568,Fair,Critical,Bearing failure
2024-12-04,4.833346900737638,95.25096343377476,419.3564864872863,0.7827010159876625,66.33189789773206,5583,Fair,Critical,Bearing failure
2024-12-05,5.589464499529143,89.99668675394426,411.61127514737575,0.8756953924829457,66.74790890969798,5605,Fair,Critical,Bearing failure
2024-12-06,4.87531504963678,104.89187130147664,418.1736073428089,0.9054849920978112,68.04909328464257,5624,Good,Critical,Bearing failure
2024-12-07,4.6593711726907285,106.72573701202732,424.49940967447606,0.8433683126808713,61.27735347664679,5641,Fair,Critical,Bearing failure
2024-12-08,5.413540334643487,98.796188360464,404.1366522699298,0.8923710838575211,63.62335907023039,5651,Good,Critical,Bearing failure
2024-12-09,4.89473335884792,103.31980330569014,415.9524983988953,0.885472590856952,64.27256814715078,5667,Good,Critical,Bearing failure
2024-12-10,5.276552899088042,97.40453322416084,418.6940524044375,0.8807683742006527,61.922806489777024,5681,Fair,Critical,Bearing failure
2024-12-11,5.642991058087516,94.64036554885952,419.0402889914057,0.868364365670067,75.94091838397561,5697,Worn,Critical,Bearing failure
2024-12-12,5.0682670088140735,96.50683203881802,414.90290197056135,0.8348410108582862,70.89970950971025,5705,Fair,Critical,Bearing failure
2024-12-14,5.287775390731264,98.31178276809987,415.3502608155659,0.9080939151304096,62.563234329047134,5739,Good,Critical,Bearing failure
2024-12-15,5.539184491367393,109.7519762978243,417.5054708496992,0.8594790808299372,72.3552304628357,5763,Good,Critical,Bearing failure
2024-12-17,6.266829272581479,98.62551485372308,419.7643727360147,0.9306139128994324,74.22457226792024,5792,Fair,Critical,Bearing failure
2024-12-18,6.479982264685697,107.42127491071892,415.377168194508,0.7699017094051416,66.56968755935026,5802,Worn,Critical,Bearing failure
2024-12-19,5.318376702341904,121.70942717497816,414.1205709378383,0.8561602403392242,70.70742688020233,5821,Worn,Critical,Bearing failure
2024-12-20,5.841801223186227,116.95051040430752,411.8867531913277,0.8597303727618621,64.38764707150976,5843,Worn,Critical,Bearing failure
2024-12-21,5.239988744389647,93.88230909094716,414.8148160147579,0.828534888774137,64.78789510063072,5862,Fair,Critical,Bearing failure
2024-12-22,5.276841268164082,99.16894427371304,407.476398129845,0.8880027981844801,68.81219876467252,5886,Good,Critical,Bearing failure
2024-12-23,5.331224250267535,96.90790922950136,411.2392179720471,0.865958725520959,75.25225223011572,5894,Worn,Critical,Bearing failure
2024-12-24,5.202413765177127,101.15026079147415,414.1993360221668,0.8835670038225233,69.76598314118844,5907,Worn,Critical,Bearing failure
