date,voltage_kv,current_a,power_factor,harmonic_distortion_percent,temperature_c,discharge_time_s,fuse_status,health_status,failure_mode
2025-02-17,10.330697100138376,53.46459311515805,0.924882783584822,6.7993779062072965,52.27754605950435,9.616671706108326,Good,Warning,Harmonic distortion
2025-02-19,10.993081126952882,46.55136112967913,0.9251375435520044,6.843632003468814,42.73047931716223,10.40660259337399,Good,Warning,Harmonic distortion
2025-02-22,10.32446281689599,43.38771021628215,0.9416373212343696,6.427264797377967,48.44665150595209,9.872522103223153,Good,Warning,Harmonic distortion
2025-02-26,11.277756323171124,45.406567442569525,0.9196526637278982,6.224910085762094,50.12745015803413,10.459227221971206,Good,Warning,Harmonic distortion
2025-02-28,12.0,52.16479912680348,0.8984476499849152,6.275225995829057,50.46414988628819,11.044221386434964,Good,Warning,Harmonic distortion
2025-03-01,10.207008343881022,40.60037807430477,0.955,7.389614177370904,44.8951218043709,10.267314543061218,Good,Warning,Harmonic distortion
2025-03-03,10.537287686970206,51.27691877837159,0.9050930735527396,6.91189916083978,44.71255381562931,10.325568120911829,Good,Warning,Harmonic distortion
2025-03-04,11.429225558328334,48.82689715021293,0.9227647598992004,6.48,46.900970055979634,9.974897691479129,Good,Warning,Harmonic distortion
2025-03-07,10.340376402700617,48.98509681302171,0.902999228712047,7.896475425384645,51.81231440405242,9.771349172456604,Good,Warning,Harmonic distortion
2025-03-08,10.978588309344213,50.290113674041976,0.9349686176441055,7.120000000000001,46.37989911570411,10.105641846139736,Good,Warning,Harmonic distortion
2025-03-10,10.687827305143388,49.077373211720754,0.9039051067092356,7.44,51.09119859066139,10.63743752063936,Good,Warning,Harmonic distortion
2025-04-27,11.384103608315868,51.07698252728144,0.9601653727934918,6.926237706436327,38.74766118150424,10.862348324880552,Good,Warning,Harmonic distortion
