date,oil_temp_c,winding_temp_c,load_percent,insulation_resistance_mohm,partial_discharge_pc,oil_quality,maintenance_performed,health_status,failure_mode
2025-05-29,93.4003947821343,95.04858531496276,56.23447293958126,1546.47835844746,43.646376111743706,Fair,0,Critical,Overheating
2025-05-31,95.08533098443569,109.64925024767231,81.51521991339506,1414.6735747181388,47.98508466052482,Poor,0,Critical,Overheating
2025-06-01,92.16739342385272,107.59276633737146,81.68340488718081,1444.9369650916128,50.8199555641356,Poor,0,Critical,Overheating
2025-06-02,96.0864020230762,114.7349339328806,82.04506539824723,1559.1792515531638,50.838266279293606,Fair,0,Critical,Overheating
2025-06-03,102.45229572601752,110.45857677575698,66.3891208982643,1605.2527477593894,56.97903272539028,Poor,0,Critical,Overheating
2025-06-04,94.7847798943576,107.12304219560454,77.96575545140762,1534.738859645069,51.97292265631207,Poor,0,Critical,Overheating
2025-06-05,100.15654336721444,122.19974424745828,85.71543152234887,1514.2976693448768,59.41310580767483,Good,0,Critical,Overheating
2025-06-06,95.03738048236232,116.38756229968084,93.0930634973311,1483.646557845572,41.52366071380915,Poor,0,Critical,Overheating
2025-06-07,98.5395555570347,109.46220177594569,67.15238091872297,1472.2118926057478,35.94432980821358,Fair,0,Critical,Overheating
2025-06-08,103.478091669748,123.41366304271988,65.9224381985308,1613.9462942731327,55.107920885275945,Poor,0,Critical,Overheating
2025-06-09,110.15290292812028,116.05299267688716,83.54525227066615,1418.1049574703516,58.90247500836509,Poor,0,Critical,Overheating
2025-06-10,107.45919669896765,125.0,63.24405394375148,1432.869761829255,55.972282182533846,Good,0,Critical,Overheating
2025-06-11,103.458259978879,125.0,61.32862193539754,1563.6130659500002,37.67476685231491,Fair,0,Critical,Overheating
2025-06-12,112.56149968839762,125.0,68.03228181570425,1543.6519925313544,52.60442263333556,Fair,0,Critical,Overheating
2025-06-13,108.70579071903632,121.94867189554276,55.373743083274206,1526.2237535474771,34.35197228637945,Good,0,Critical,Overheating
2025-06-14,113.47672099720654,125.0,81.79142775438196,1477.34658753826,46.70552213652908,Fair,0,Critical,Overheating
2025-06-15,118.25935352144148,125.0,78.16155957182778,1535.1950692356393,34.64427876792894,Poor,0,Critical,Overheating
2025-06-16,119.98394339993492,125.0,64.83316871423503,1481.6939644744348,49.606927123723686,Fair,0,Critical,Overheating
2025-06-17,117.12751607799132,125.0,89.31366781831184,1581.1325045754622,36.87780806568594,Good,0,Critical,Overheating
2025-06-18,120.0,125.0,78.86808520689203,1581.8235318889474,70.12270445700764,Good,0,Critical,Overheating
2025-06-19,120.0,125.0,85.45088474084753,1510.8665874822668,50.23903043284955,Good,0,Critical,Overheating
2025-06-20,120.0,125.0,66.81571334057999,1614.9275793508589,54.99864123740372,Poor,0,Critical,Overheating
2025-06-21,117.2034691259903,125.0,53.99973492348376,1546.913101262328,58.85231482988991,Fair,0,Critical,Overheating
2025-06-22,120.0,125.0,94.54157433750288,1462.068997180355,39.410924129434,Good,0,Critical,Overheating
2025-06-23,120.0,125.0,75.03695671847848,1575.8597276556266,63.414759155308815,Poor,0,Critical,Overheating
2025-06-24,120.0,125.0,87.30874513154735,1626.376070903138,55.62880860174355,Poor,0,Critical,Overheating
2025-06-25,120.0,125.0,69.69029102188036,1474.864666412141,53.42337834489621,Fair,0,Critical,Overheating
2025-06-26,120.0,125.0,79.1486550036191,1534.7466397588578,50.43514668643466,Fair,0,Critical,Overheating
2025-06-27,120.0,125.0,72.03392540930201,1518.0991451187583,38.48985916380493,Poor,0,Critical,Overheating
2025-06-28,120.0,125.0,92.5547569831549,1617.976479391114,45.34194430881837,Poor,0,Critical,Overheating
2025-06-29,120.0,125.0,70.48340523840378,1514.6268738021097,42.4171793111241,Fair,0,Critical,Overheating
2025-06-30,120.0,125.0,81.29529584221811,1439.6763180255004,58.95355430762599,Fair,0,Critical,Overheating
2025-07-01,120.0,125.0,83.20344012612456,1497.4790576472217,54.54740912141134,Fair,0,Critical,Overheating
2025-07-02,120.0,125.0,72.9414056911966,1444.006624009482,48.23225836884218,Poor,0,Critical,Overheating
2025-07-03,120.0,125.0,72.15124506630329,1480.7865185628466,47.58502554129221,Fair,0,Critical,Overheating
